,rho,eta.1,eta.2,delta,mu,sigma.sq,CIrho,CIeta.1,CIeta.2,CIdelta,CImu,CIsigma.sq
result.96,4.910698586,0.84416352,3.179997932,-2.398164661,-23.82667317,102.4386414,1,1,1,0,0,1
result.97,6.196595975,0.934427765,2.717351415,-1.390406245,-11.89627473,105.9116937,1,1,1,1,1,1
result.98,5.583948932,0.920943121,0.520834254,-2.480260273,-27.21958496,93.82975712,1,1,0,0,0,1
result.99,4.651341206,0.992282694,3.006457758,-1.860431011,-13.78209153,94.37796061,1,0,1,1,1,1
result.100,5.048315813,0.928488963,2.900948027,-2.12828692,-19.24167915,97.09410159,1,1,1,1,1,1
result.101,5.00850845,0.918560381,1.470989322,-2.058967946,-22.97756021,104.1094501,1,1,0,0,0,1
result.102,3.154774441,0.897104024,1.905420042,-2.270446844,-25.26928046,99.33149779,1,1,1,0,0,1
result.103,5.212993543,0.945338118,3.285386523,-0.720706046,-7.41987129,99.2485519,1,1,1,1,1,1
result.104,5.892771508,0.940611865,2.108094639,-1.501452385,-13.11007739,99.77643565,1,1,1,1,1,1
result.105,4.430607187,0.974338266,3.436151534,-1.600371099,-10.55251375,99.48893656,1,0,1,1,1,1
result.106,4.424887738,0.877190324,2.721230041,-2.384202735,-27.06276785,109.3442264,1,1,1,0,0,1
result.107,5.209411929,0.952459297,4.142163852,-1.870781753,-13.28649936,115.0403594,1,1,1,1,1,0
result.108,6.408502789,0.936437072,2.525581852,-1.033887364,-11.71912355,91.07990267,1,1,1,1,1,1
result.109,4.885563994,0.899995556,2.647919711,0.963389524,4.896576561,94.16995213,1,1,1,1,1,1
result.110,7.212730342,0.870596362,2.930586987,-0.31247614,-7.631984296,96.38862647,1,1,1,1,1,1
result.111,5.127214546,0.923524755,3.535491703,-2.397092344,-22.75222539,96.21124669,1,1,1,1,1,1
result.112,5.184531529,0.876988353,1.327367228,-2.067499728,-24.38980954,102.3990976,1,1,0,0,0,1
result.113,4.746853676,0.930197682,1.992039997,-1.992634879,-19.26867912,106.9400185,1,1,1,0,0,1
result.114,6.808113446,0.882089777,2.89990857,-2.798612228,-25.87133048,105.9711899,1,1,1,0,1,1
result.115,4.076615178,0.901235426,2.151836614,-2.223047052,-22.94322842,97.01698696,1,1,1,0,0,1
result.116,5.248669147,0.927560956,3.781574909,-0.666376046,-9.567322815,103.2184272,1,1,1,1,1,1
result.117,5.556997602,0.908043475,3.050257851,-2.622363276,-27.63612979,98.704177,1,1,1,0,1,1
result.118,3.957816618,0.899107859,3.053495711,-2.255426493,-23.73856069,105.1352411,1,1,1,0,0,1
result.119,4.782193297,0.866598087,2.952920938,-2.53354097,-26.05980471,99.03274255,1,1,1,0,0,1
result.120,5.32598556,0.945010014,3.196290666,-0.85051077,-9.066454197,91.45626711,1,1,1,1,1,1
result.121,6.658363877,0.88396628,3.61651634,-0.142258663,-6.577589872,103.9837984,1,1,1,1,1,1
result.122,5.749404629,0.873622667,3.421886887,-0.082197385,-5.365254533,99.99610201,1,1,1,1,1,1
result.123,4.427100787,0.891451827,2.390779843,-2.12070342,-25.02879168,103.754885,1,1,1,0,0,1
result.124,5.620265571,0.901734983,3.663005148,-2.751586316,-25.50099157,108.1582801,1,1,1,1,1,1
result.125,7.182754992,0.800734838,2.029270723,-2.512255382,-26.3561775,103.7375938,1,1,1,0,0,1
result.126,6.29520465,0.934684141,2.107328396,-1.084805102,-7.180770507,96.73668009,1,1,1,1,1,1
result.127,5.00793038,0.819711009,2.973277564,-2.297184678,-23.61792534,96.90127678,1,1,1,0,0,1
result.128,5.289756886,0.87899016,3.869121472,0.009563859,-7.487868113,100.2150786,1,1,1,1,0,1
result.129,4.270568445,0.904399579,3.933350962,0.112750038,-7.210193116,98.0874409,1,1,1,1,0,1
result.130,4.713723602,0.946233431,1.520144663,0.076501442,7.99104895,95.60974233,1,0,1,1,1,1
result.131,4.815154137,0.927413511,3.372210866,-2.400054415,-26.91345519,102.805007,1,1,1,1,1,1
result.132,3.060903463,0.911340088,2.996612004,-2.308244437,-25.56794387,96.17272142,0,1,1,0,0,1
result.133,6.10487568,0.915675472,3.053698238,-3.226147136,-31.80173492,88.07006843,1,1,1,1,1,0
result.134,4.915567767,0.910521577,2.738868218,-2.650115652,-28.27516739,99.64750003,1,1,1,0,0,1
result.135,5.189083681,0.900907961,1.79816084,-2.634444889,-26.64122048,93.85161251,1,1,1,0,0,1
result.136,2.58240281,0.945614017,3.207875099,-2.364831664,-24.6057574,101.5460334,0,1,1,0,0,1
